Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,1061184,2021-09-29,0.0437,22253028,MCBS
"Vanguard Group, Inc. (The)",887470,2021-09-29,0.0365,18610245,MCBS
Manufacturers Life Insurance Co.,343011,2021-09-29,0.0141,7192940,MCBS
State Street Corporation,301305,2021-09-29,0.0124,6318365,MCBS
"Geode Capital Management, LLC",285615,2021-09-29,0.0118,5989346,MCBS
Northern Trust Corporation,174033,2021-09-29,0.0072,3649472,MCBS
Bank Of New York Mellon Corporation,141109,2021-09-29,0.0058,2959055,MCBS
"Charles Schwab Investment Management, Inc.",138213,2021-09-29,0.005699999999999999,2898326,MCBS
"Eam Investors, LLC",72143,2021-09-29,0.003,1512838,MCBS
Nuveen Asset Management,58782,2021-09-29,0.0024,1232658,MCBS
