Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,2232563,2021-09-29,0.09570000000000001,585154762,CACI
"Vanguard Group, Inc. (The)",2231362,2021-09-29,0.09570000000000001,584839980,CACI
"FMR, LLC",1342092,2021-09-29,0.0575,351762313,CACI
Atlanta Capital Management Company LLC,1240937,2021-09-29,0.053200000000000004,325249587,CACI
Dimensional Fund Advisors LP,802216,2021-09-29,0.0344,210260813,CACI
Bank Of New York Mellon Corporation,739911,2021-09-29,0.0317,193930673,CACI
Invesco Ltd.,691901,2021-09-29,0.0297,181347252,CACI
Massachusetts Financial Services Co.,665483,2021-09-29,0.0285,174423094,CACI
State Street Corporation,604648,2021-09-29,0.0259,158478240,CACI
"River Road Asset Management, LLC",459386,2021-09-29,0.0197,120405070,CACI
