Holder,Shares,Date Reported,% Out,Value,ABV
"Federated Hermes, Inc.",2100000,2021-09-29,0.048499999999999995,85071000,CAMT
Migdal Insurance & Financial Holdings Ltd.,1863309,2021-09-29,0.043,75482647,CAMT
Acadian Asset Management. LLC,1355262,2021-09-29,0.0313,54901663,CAMT
Wasatch Advisors Inc,1226379,2021-09-29,0.028300000000000002,49680613,CAMT
Royce & Associates LP,1046243,2021-09-29,0.0242,42383303,CAMT
"Renaissance Technologies, LLC",1008140,2021-09-29,0.0233,40839751,CAMT
"Vanguard Group, Inc. (The)",757034,2021-09-29,0.0175,30667447,CAMT
"Driehaus Capital Management, LLC",739567,2021-09-29,0.0171,29959859,CAMT
Meitav Dash Investments Ltd,591080,2021-09-29,0.0137,23944650,CAMT
Invesco Ltd.,482984,2021-09-29,0.011200000000000002,19565681,CAMT
