Holder,Shares,Date Reported,% Out,Value,ABV
"Castle Creek Arbitrage, LLC",1346878,2021-09-29,0.0521,13158998,FSSI
Periscope Capital Inc.,851391,2021-09-29,0.0329,8318090,FSSI
Adage Capital Partners GP L.L.C.,850000,2021-09-29,0.0329,8304500,FSSI
HITE Hedge Asset Management LLC,795735,2021-09-29,0.0308,7774330,FSSI
"Wellington Management Group, LLP",778354,2021-09-29,0.0301,7604518,FSSI
Citadel Advisors LLC,691813,2021-09-29,0.026699999999999998,6759013,FSSI
Glazer Capital LLC,657374,2021-09-29,0.0254,6422543,FSSI
"Saba Capital Management, L.P.",631138,2021-09-29,0.024399999999999998,6166218,FSSI
Sculptor Capital Lp,602284,2021-09-29,0.0233,5884314,FSSI
Taconic Capital Advisors Lp,550000,2021-09-29,0.0213,5373500,FSSI
