Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",67713980,2021-09-29,0.10460000000000001,1389490869,AAL
Primecap Management Company,42598936,2021-09-29,0.0658,874130166,AAL
Blackrock Inc.,35697328,2021-12-30,0.055099999999999996,641124010,AAL
State Street Corporation,20711674,2021-09-29,0.032,425003550,AAL
"U.S. Global Investors, Inc.",17927661,2021-12-30,0.0277,321980791,AAL
"Geode Capital Management, LLC",12125687,2021-09-29,0.0187,248819097,AAL
"Two Sigma Investments, LP",10120611,2021-09-29,0.015600000000000001,207674937,AAL
"Two Sigma Advisers, LP",8013846,2021-09-29,0.0124,164444119,AAL
"Susquehanna International Group, LLP",6210932,2021-09-29,0.0096,127448324,AAL
"Jane Street Group, LLC",5972140,2021-09-29,0.0092,122548312,AAL
