Holder,Shares,Date Reported,% Out,Value,ABV
SIT Investment Associates Inc,14518116,2021-09-29,0.1406,66347790,PPT
Morgan Stanley,1618539,2021-09-29,0.015700000000000002,7396723,PPT
Parametric Portfolio Associates,1444413,2021-09-29,0.013999999999999999,6600967,PPT
Invesco Ltd.,1314684,2021-09-29,0.0127,6008105,PPT
"Howard Wealth Management, LLC",734495,2021-09-29,0.0070999999999999995,3356642,PPT
"Raymond James & Associates, Inc.",653488,2021-09-29,0.0063,2986440,PPT
"Shaker Financial Services, LLC",483343,2021-09-29,0.004699999999999999,2208877,PPT
"Quad-Cities Investment Group, LLC",472760,2021-09-29,0.0046,2160513,PPT
Janney Montgomery Scott LLC,432507,2021-09-29,0.0042,1976556,PPT
"Raymond James Financial Services Advisors, Inc.",382117,2021-09-29,0.0037,1746274,PPT
