Holder,Shares,Date Reported,% Out,Value,ABV
Healthcor Management LP,1324800,2021-09-29,0.0858,13049280,RACB
Citadel Advisors LLC,1185857,2021-09-29,0.0768,11680691,RACB
"Bain Capital Life Sciences Investors, LLC",1000000,2021-09-29,0.0647,9850000,RACB
Perceptive Advisors Llc,1000000,2021-09-29,0.0647,9850000,RACB
"Laurion Capital Management, LP",800000,2021-09-29,0.0518,7880000,RACB
"Alyeska Investment Group, L.P.",800000,2021-09-29,0.0518,7880000,RACB
Woodline Partners LP,750000,2021-09-29,0.048499999999999995,7387500,RACB
Farallon Capital Management Llc,750000,2021-09-29,0.048499999999999995,7387500,RACB
RTW Investments LP,637000,2021-09-29,0.0412,6274450,RACB
Sphera Funds Management Ltd,600000,2021-09-29,0.0388,5910000,RACB
