Holder,Shares,Date Reported,% Out,Value,ABV
Price (T.Rowe) Associates Inc,5156496,2021-09-29,0.0837,416129227,DOCS
"Vanguard Group, Inc. (The)",4193557,2021-09-29,0.068,338420049,DOCS
Whale Rock Capital Management LLC,3932570,2021-09-29,0.0638,317358399,DOCS
"FMR, LLC",2142130,2021-09-29,0.0348,172869891,DOCS
Morgan Stanley,2045306,2021-09-29,0.0332,165056194,DOCS
"Ameriprise Financial, Inc.",1656093,2021-09-29,0.0269,133646705,DOCS
Blackrock Inc.,1355993,2021-09-29,0.022000000000000002,109428635,DOCS
Credit Suisse AG,1265144,2021-09-29,0.020499999999999997,102097120,DOCS
Echo Street Capital Management LLC,879953,2021-09-29,0.0143,71012207,DOCS
Wells Fargo & Company,806616,2021-09-29,0.0131,65093911,DOCS
