Holder,Shares,Date Reported,% Out,Value,ABV
"Highbridge Capital Management, LLC.",1512430,2021-09-29,0.0605,14746192,HCII
Adage Capital Partners GP L.L.C.,1000000,2021-09-29,0.04,9750000,HCII
Citadel Advisors LLC,788752,2021-09-29,0.0316,7690332,HCII
"Saba Capital Management, L.P.",768290,2021-09-29,0.030699999999999998,7490827,HCII
Sage Rock Capital Management LP,622160,2021-09-29,0.024900000000000002,6066060,HCII
"Wellington Management Group, LLP",558334,2021-09-29,0.0223,5443756,HCII
"Arena Capital Advisors, LLC- CA",504193,2021-09-29,0.0202,4915881,HCII
Bank of Montreal/Can/,420132,2021-09-29,0.0168,4096287,HCII
Linden Advisors LP,413635,2021-09-29,0.0165,4032941,HCII
Fir Tree Capital Management LLP,412421,2021-09-29,0.0165,4021104,HCII
