Holder,Shares,Date Reported,% Out,Value,ABV
"Cerberus Capital Management, L.P.",151818680,2021-09-29,0.325,4726115508,ACI
"Lubert-Adler Management Compnay, LP",58128754,2021-09-29,0.1244,1809548112,ACI
"DigitalBridge Group, Inc",17425946,2021-09-29,0.0373,542469698,ACI
Massachusetts Financial Services Co.,4969032,2021-09-29,0.0106,154685966,ACI
Blackrock Inc.,4521390,2021-09-29,0.0097,140750870,ACI
"Vanguard Group, Inc. (The)",2172474,2021-09-29,0.004699999999999999,67629115,ACI
"Jacobs Levy Equity Management, Inc.",2129697,2021-09-29,0.0046,66297467,ACI
State Street Corporation,2102310,2021-09-29,0.0045000000000000005,65444910,ACI
Norges Bank Investment Management,1954535,2020-12-30,0.0042,34360725,ACI
"Private Management Group, Inc.",1761532,2021-09-29,0.0038,54836491,ACI
