Holder,Shares,Date Reported,% Out,Value,ABV
"Impactive Capital, LP",6881793,2021-09-29,0.15289999999999998,199021453,AVID
Blackrock Inc.,2330485,2021-09-29,0.0518,67397626,AVID
"Gilder, Gagnon, Howe & Co.",2198461,2021-09-29,0.048799999999999996,63579492,AVID
"Vanguard Group, Inc. (The)",2152671,2021-09-29,0.0478,62255245,AVID
Royce & Associates LP,2083434,2021-09-29,0.0463,60252911,AVID
"FMR, LLC",1460193,2021-09-29,0.032400000000000005,42228781,AVID
Dimensional Fund Advisors LP,1337072,2021-09-29,0.0297,38668122,AVID
Acadian Asset Management. LLC,967286,2021-09-29,0.0215,27973911,AVID
Cowbird Capital LP,890368,2021-09-29,0.019799999999999998,25749442,AVID
"Atika Capital Management, LLC",812500,2021-09-29,0.018000000000000002,23497500,AVID
