Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",5922050,2021-09-29,0.1174,2443852373,CRL
Blackrock Inc.,5087693,2021-09-29,0.1008,2099538270,CRL
"FMR, LLC",2823913,2021-09-29,0.055999999999999994,1165344177,CRL
State Street Corporation,1957480,2021-09-29,0.0388,807793271,CRL
Kayne Anderson Rudnick Investment Management LLC,1481805,2021-09-29,0.0294,611496469,CRL
Invesco Ltd.,1467311,2021-09-29,0.0291,605515230,CRL
Massachusetts Financial Services Co.,1357246,2021-09-29,0.0269,560094706,CRL
"William Blair Investment Management, LLC",942596,2021-09-29,0.0187,388981091,CRL
"Geode Capital Management, LLC",911152,2021-09-29,0.0181,376005095,CRL
Royal Bank of Canada,719297,2021-09-29,0.0143,296832292,CRL
