Holder,Shares,Date Reported,% Out,Value,ABV
Price (T.Rowe) Associates Inc,108810954,2021-09-29,0.09910000000000001,11210792590,GE
"Vanguard Group, Inc. (The)",82275565,2021-09-29,0.07490000000000001,8476851461,GE
Blackrock Inc.,70225351,2021-09-29,0.0639,7235317913,GE
"FMR, LLC",65416906,2021-09-29,0.0596,6739903825,GE
State Street Corporation,43241376,2021-09-29,0.0394,4455158969,GE
Capital Research Global Investors,38717586,2021-09-29,0.0353,3989072885,GE
"Geode Capital Management, LLC",17160629,2021-09-29,0.015600000000000001,1768059605,GE
"Viking Global Investors, L.P.",16923702,2021-09-29,0.0154,1743649017,GE
Eagle Capital Management LLC,13673421,2021-09-29,0.0125,1408772565,GE
"Hotchkis & Wiley Capital Management, LLC",12129354,2021-09-29,0.011000000000000001,1249687342,GE
