Holder,Shares,Date Reported,% Out,Value,ABV
"TRV GP III, LLC",5839160,2021-09-29,0.162,98565020,PLRX
"FMR, LLC",5390690,2021-09-29,0.1496,90994847,PLRX
"Redmile Group, LLC",3083501,2021-09-29,0.08560000000000001,52049496,PLRX
CHI Advisors LLC,2484724,2021-09-29,0.0689,41942141,PLRX
Eventide Asset Management LLC,2183238,2021-09-29,0.060599999999999994,36853057,PLRX
"TRV GP IV, LLC",2132867,2021-09-29,0.0592,36002794,PLRX
Blackrock Inc.,1551992,2021-09-29,0.0431,26197624,PLRX
"Vanguard Group, Inc. (The)",1418599,2021-09-29,0.0394,23945951,PLRX
Citadel Advisors LLC,1328366,2021-09-29,0.0369,22422818,PLRX
"Harvard Management Company, Inc.",562379,2021-09-29,0.015600000000000001,9492957,PLRX
