Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",398725,2021-09-29,0.0223,3297455,PTRS
Fourthstone LLC,226576,2021-09-29,0.0127,1873783,PTRS
Brown Advisory Inc.,192603,2021-09-29,0.0108,1592826,PTRS
LPL Financial LLC,54660,2021-09-29,0.0031,452038,PTRS
"Strategic Wealth Management Group, LLC",44827,2021-06-29,0.0025,360409,PTRS
"Wealthspire Advisors, LLC",44827,2021-09-29,0.0025,370719,PTRS
"Ergoteles, LLC",42620,2021-09-29,0.0024,352467,PTRS
"Salzhauer, Michael",27569,2021-09-29,0.0015,227995,PTRS
Morgan Stanley,22463,2021-09-29,0.0013,185769,PTRS
Blackrock Inc.,22223,2021-09-29,0.0012,183784,PTRS
