Holder,Shares,Date Reported,% Out,Value,ABV
"Thoma Bravo, LP",84298270,2021-09-29,0.2957,5982648221,DT
"Vanguard Group, Inc. (The)",18283957,2021-09-29,0.0641,1297612428,DT
"FMR, LLC",14533655,2021-09-29,0.051,1031453495,DT
Blackrock Inc.,11153206,2021-09-29,0.0391,791543029,DT
Brown Advisory Inc.,9333897,2021-09-29,0.0327,662426670,DT
Janus Henderson Group PLC,7768955,2021-09-29,0.0273,551362736,DT
Jennison Associates LLC,7064358,2021-09-29,0.0248,501357487,DT
"William Blair Investment Management, LLC",5616900,2021-09-29,0.0197,398631393,DT
"Dragoneer Investment Group, LLC",5196219,2021-09-29,0.0182,368775662,DT
"HMI Capital Management, LP",5032047,2021-09-29,0.0177,357124375,DT
