Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,658337,2021-09-29,0.0678,32179512,BXC
"Punch & Associates Investment Management, Inc.",628601,2021-09-29,0.06480000000000001,30726016,BXC
"Vanguard Group, Inc. (The)",488818,2021-09-29,0.0504,23893423,BXC
"Nokomis Capital, L.L.C.",477985,2021-09-29,0.0492,23363906,BXC
"Gendell, Jeffrey L.",477892,2021-09-29,0.0492,23359360,BXC
JB Capital Partners LP,458649,2021-09-29,0.0473,22418763,BXC
"Portolan Capital Management, LLC",359631,2021-09-29,0.037000000000000005,17578763,BXC
Royce & Associates LP,324024,2021-09-29,0.0334,15838293,BXC
"Voss Capital, LLC",275114,2021-09-29,0.028300000000000002,13447572,BXC
Acadian Asset Management. LLC,213270,2021-09-29,0.022000000000000002,10424637,BXC
