Holder,Shares,Date Reported,% Out,Value,ABV
"NEA Management Company, LLC",2444379,2021-09-29,0.1033,28330352,INZY
"Deerfield Management Company, L.P. (Series C)",2344786,2021-09-29,0.09910000000000001,27176069,INZY
"Sofinnova Investments, Inc.",2028308,2021-09-29,0.0857,23508089,INZY
"Pivotal bioVenture Partners Investment Advisor, LLC",1591154,2021-09-29,0.0672,18441474,INZY
Adage Capital Partners GP L.L.C.,1467828,2021-09-29,0.062,17012126,INZY
"Suvretta Capital Management, LLC",986400,2021-09-29,0.0417,11432376,INZY
CHI Advisors LLC,920264,2021-09-29,0.038900000000000004,10665859,INZY
Blackrock Inc.,900719,2021-09-29,0.0381,10439333,INZY
"Rock Springs Capital Management, LP",850015,2021-09-29,0.0359,9851673,INZY
"Vanguard Group, Inc. (The)",611185,2021-09-29,0.0258,7083634,INZY
