Holder,Shares,Date Reported,% Out,Value,ABV
Janney Montgomery Scott LLC,256162,2021-09-29,0.0484,6006998,CBFV
"Vanguard Group, Inc. (The)",185121,2021-09-29,0.035,4341087,CBFV
Manufacturers Life Insurance Co.,151286,2021-09-29,0.0286,3547656,CBFV
Endeavour Capital Advisors Inc,110797,2021-09-29,0.0209,2598189,CBFV
Fourthstone LLC,92500,2021-09-29,0.0175,2169125,CBFV
"Renaissance Technologies, LLC",85304,2021-09-29,0.0161,2000378,CBFV
Millennium Management LLC,71626,2021-09-29,0.013500000000000002,1679629,CBFV
Waldron Private Wealth LLC,60306,2021-09-29,0.011399999999999999,1414175,CBFV
"Geode Capital Management, LLC",47616,2021-09-29,0.009000000000000001,1116595,CBFV
"Bridgeway Capital Management, Inc.",44000,2021-09-29,0.0083,1031800,CBFV
