Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,8802463,2021-09-29,0.1536,354827283,VSTO
"Gates Capital Management, Inc.",5564317,2021-09-29,0.0971,224297618,VSTO
"Vanguard Group, Inc. (The)",4869101,2021-09-29,0.085,196273461,VSTO
Dimensional Fund Advisors LP,3107911,2021-09-29,0.0542,125279892,VSTO
State Street Corporation,1767894,2021-09-29,0.030899999999999997,71263807,VSTO
Brown Advisory Inc.,1540726,2021-09-29,0.0269,62106665,VSTO
"Arrowstreet Capital, Limited Partnership",1109670,2021-09-29,0.0194,44730797,VSTO
"Geode Capital Management, LLC",995141,2021-09-29,0.0174,40114133,VSTO
"Greenhouse Funds, LLLP",750521,2021-09-29,0.0131,30253501,VSTO
Northern Trust Corporation,748484,2021-09-29,0.0131,30171390,VSTO
