Holder,Shares,Date Reported,% Out,Value,ABV
"Northern Right Capital Management, L.P.",1356819,2021-09-29,0.0504,4735298,GECC
Alden Global Capital LLC,902292,2021-09-29,0.0335,3148999,GECC
Acuitas Investments LLC,353929,2021-09-29,0.0132,1235212,GECC
"Two Sigma Investments, LP",237650,2021-09-29,0.0088,829398,GECC
"Two Sigma Advisers, LP",216589,2021-09-29,0.008,755895,GECC
"Cove Street Capital, LLC",67400,2021-09-29,0.0025,235226,GECC
Acadian Asset Management. LLC,31451,2021-09-29,0.0012,109763,GECC
CSS LLC,31417,2021-09-29,0.0012,109645,GECC
Squarepoint Ops LLC,21560,2021-09-29,0.0008,75244,GECC
"Trust Company of Toledo, N.A.",11622,2021-09-29,0.0004,40560,GECC
