Holder,Shares,Date Reported,% Out,Value,ABV
Magnetar Financial LLC,711964,2021-12-30,0.023700000000000002,7048443,OEPWU
HGC Investment Management Inc.,625000,2021-12-30,0.0208,6187500,OEPWU
"Aristeia Capital, LLC",436123,2021-09-29,0.014499999999999999,4326340,OEPWU
Commonwealth Of Pennsylvania Public School Empls Retrmt Sys,300000,2021-12-30,0.01,2970000,OEPWU
"Wealthspring Capital ,LLC",238857,2021-12-30,0.008,2364684,OEPWU
Glazer Capital LLC,220727,2021-12-30,0.0074,2185197,OEPWU
Manufacturers Life Insurance Co.,175000,2021-09-29,0.0058,1736000,OEPWU
JP Morgan Chase & Company,152750,2021-12-30,0.0051,1512225,OEPWU
"Sage Mountain Advisors, LLC",148310,2021-12-30,0.0049,1468269,OEPWU
Goldman Sachs Group Inc,139025,2021-12-30,0.0046,1376347,OEPWU
