Holder,Shares,Date Reported,% Out,Value,ABV
"RA Capital Management, L.P.",11120973,2021-09-29,0.2982,174376856,VOR
"5AM Venture Management, LLC",6692429,2021-09-29,0.1795,104937286,VOR
"FMR, LLC",3205394,2021-09-29,0.086,50260577,VOR
"Vanguard Group, Inc. (The)",1301056,2021-09-29,0.0349,20400558,VOR
Blackrock Inc.,1130038,2021-09-29,0.030299999999999997,17718995,VOR
Woodline Partners LP,1111123,2021-09-29,0.0298,17422408,VOR
Johnson & Johnson,1074658,2021-09-29,0.0288,16850637,VOR
Orbimed Advisors LLC.,833333,2021-09-29,0.0223,13066661,VOR
"Sarissa Capital Management, LP",707010,2021-09-29,0.019,11085916,VOR
"Laurion Capital Management, LP",657308,2021-09-29,0.0176,10306589,VOR
