Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",13847692,2021-09-29,0.1043,2342475578,VMC
Blackrock Inc.,10351099,2021-09-29,0.078,1750991906,VMC
State Farm Mutual Automobile Insurance Co,9953700,2021-09-29,0.075,1683767892,VMC
Massachusetts Financial Services Co.,8212230,2021-09-29,0.061900000000000004,1389180826,VMC
State Street Corporation,5743440,2021-09-29,0.0433,971560310,VMC
"Principal Financial Group, Inc.",4511288,2021-09-29,0.034,763129478,VMC
Price (T.Rowe) Associates Inc,2666732,2021-09-29,0.020099999999999996,451104385,VMC
"ClearBridge Investments, LLC",2597338,2021-09-29,0.0196,439365696,VMC
"Geode Capital Management, LLC",2587831,2021-09-29,0.0195,437757491,VMC
Northern Trust Corporation,2586741,2021-09-29,0.0195,437573107,VMC
