Holder,Shares,Date Reported,% Out,Value,ABV
Price (T.Rowe) Associates Inc,5555146,2021-09-29,0.16879999999999998,198040954,SCHL
Blackrock Inc.,4588529,2021-09-29,0.13949999999999999,163581058,SCHL
Dimensional Fund Advisors LP,2366541,2021-09-29,0.0719,84367186,SCHL
"Vanguard Group, Inc. (The)",2266056,2021-09-29,0.0689,80784896,SCHL
"Neuberger Berman Group, LLC",1337648,2021-09-29,0.0407,47687151,SCHL
State Street Corporation,969253,2021-09-29,0.029500000000000002,34553869,SCHL
Bank Of New York Mellon Corporation,771578,2021-09-29,0.0235,27506755,SCHL
"Deprince, Race & Zollo, Inc.",578359,2021-09-29,0.0176,20618498,SCHL
Acadian Asset Management. LLC,552492,2021-09-29,0.0168,19696339,SCHL
"Price, Michael F.",525103,2021-09-29,0.016,18719921,SCHL
