Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",4107044,2021-09-29,0.1025,361255590,LOPE
Blackrock Inc.,3675063,2021-09-29,0.0917,323258541,LOPE
Riverbridge Partners LLC,2862921,2021-09-29,0.07139999999999999,251822531,LOPE
Massachusetts Financial Services Co.,1929200,2021-09-29,0.0481,169692432,LOPE
"William Blair Investment Management, LLC",1889011,2021-09-29,0.0471,166157407,LOPE
FIL LTD,1807434,2021-09-29,0.0451,158981894,LOPE
ArrowMark Colorado Holdings LLC,1389158,2021-09-29,0.0347,122190337,LOPE
Van Berkom & Associates Inc.,1334523,2021-09-29,0.0333,117384643,LOPE
Wasatch Advisors Inc,1316128,2021-09-29,0.032799999999999996,115766618,LOPE
State Street Corporation,1118524,2021-09-29,0.0279,98385371,LOPE
