Holder,Shares,Date Reported,% Out,Value,ABV
"FMR, LLC",6582676,2021-09-29,0.1001,135273991,CGNT
Clal Insurance Enterprises Holdings Ltd,4247578,2021-09-29,0.0646,87287727,CGNT
Victory Capital Management Inc.,4239029,2021-12-30,0.0644,66425584,CGNT
Senvest Management LLC,3505927,2021-09-29,0.0533,72046799,CGNT
"Rgm Capital, Llc",3264652,2021-09-29,0.0496,67088598,CGNT
"American Capital Management, Inc.",2654100,2021-09-29,0.0404,54541755,CGNT
"Kabouter Management, Llc",2651087,2021-09-29,0.0403,54479837,CGNT
"Neuberger Berman Group, LLC",2277333,2021-09-29,0.0346,46799193,CGNT
"ETF Managers Group, LLC",1935825,2021-09-29,0.0294,39781203,CGNT
Blackrock Inc.,1568812,2021-09-29,0.0239,32239086,CGNT
