Holder,Shares,Date Reported,% Out,Value,ABV
"TRV GP IV, LLC",6758204,2021-09-29,0.115,49199725,MGTA
"Casdin Capital, LLC",3901589,2021-09-29,0.0664,28403567,MGTA
"Gilder, Gagnon, Howe & Co.",3770759,2021-09-29,0.0642,27451125,MGTA
"Aquilo Capital Management, LLC",3155082,2021-09-29,0.0537,22968996,MGTA
Blackrock Inc.,2215655,2021-09-29,0.0377,16129968,MGTA
"Vanguard Group, Inc. (The)",2091692,2021-09-29,0.0356,15227517,MGTA
Orbimed Advisors LLC.,1892953,2021-09-29,0.0322,13780697,MGTA
Great Point Partners LLC,1170000,2021-09-29,0.0199,8517600,MGTA
"FMR, LLC",745100,2021-09-29,0.0127,5424328,MGTA
Janus Henderson Group PLC,596402,2021-09-29,0.0101,4341806,MGTA
