Holder,Shares,Date Reported,% Out,Value,ABV
Wasatch Advisors Inc,14693952,2021-09-29,0.1164,530010848,LPRO
"Vanguard Group, Inc. (The)",9860637,2021-09-29,0.0781,355673176,LPRO
"Bregal Sagemount I, L.P.",7564566,2021-09-29,0.0599,272853895,LPRO
Bregal North America General Partner Jersey Limited,7564566,2021-09-29,0.0599,272853895,LPRO
"Bregal Investments, Inc.",7564566,2021-09-29,0.0599,272853895,LPRO
Blackrock Inc.,6549507,2021-09-29,0.0519,236240717,LPRO
"Washington Harbour Partners, LP",2902749,2021-09-29,0.023,104702156,LPRO
St. Denis J. Villere & Company,2336130,2021-12-30,0.018500000000000003,52516202,LPRO
"Ameriprise Financial, Inc.",2319467,2021-09-29,0.0184,83663174,LPRO
State Street Corporation,2288845,2021-09-29,0.0181,82558639,LPRO
