Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,1797658,2021-09-29,0.04769999999999999,44150480,BY
Thrivent Financial For Lutherans,1569168,2021-09-29,0.0416,38538766,BY
"Aristotle Capital Boston, LLC",1269145,2021-09-29,0.0337,31170201,BY
Endeavour Capital Advisors Inc,1243431,2021-09-29,0.033,30538665,BY
"Vanguard Group, Inc. (The)",1157302,2021-09-29,0.030699999999999998,28423337,BY
Dimensional Fund Advisors LP,832610,2021-09-29,0.022099999999999998,20448901,BY
"Banc Funds Company, L.L.C. (The)",725920,2021-09-29,0.0192,17828595,BY
"Ararat Capital Management, LP",613370,2021-09-29,0.0163,15064367,BY
State Street Corporation,543411,2021-09-29,0.0144,13346174,BY
"FMR, LLC",490180,2021-09-29,0.013000000000000001,12038820,BY
