Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,5610693,2021-09-29,0.15810000000000002,151937566,TBI
"Vanguard Group, Inc. (The)",4368188,2021-09-29,0.1231,118290531,TBI
Dimensional Fund Advisors LP,2432172,2021-09-29,0.06849999999999999,65863217,TBI
Pzena Investment Management Llc,1764551,2021-09-29,0.049699999999999994,47784041,TBI
"FMR, LLC",1486840,2021-09-29,0.04190000000000001,40263627,TBI
"Hotchkis & Wiley Capital Management, LLC",1297560,2021-09-29,0.0366,35137924,TBI
State Street Corporation,1191664,2021-09-29,0.0336,32270261,TBI
ArrowMark Colorado Holdings LLC,1120811,2021-09-29,0.0316,30351561,TBI
JP Morgan Chase & Company,1041180,2021-09-29,0.029300000000000003,28195154,TBI
Invesco Ltd.,701380,2021-09-29,0.019799999999999998,18993370,TBI
