Holder,Shares,Date Reported,% Out,Value,ABV
Dimensional Fund Advisors LP,2059570,2021-09-29,0.0463,104935091,STFC
"Vanguard Group, Inc. (The)",1673542,2021-09-29,0.037599999999999995,85266964,STFC
Blackrock Inc.,1258084,2021-09-29,0.028300000000000002,64099379,STFC
Magnetar Financial LLC,1211352,2021-09-29,0.027200000000000002,61718384,STFC
"Versor Investments, LP",1100035,2021-09-29,0.024700000000000003,56046783,STFC
Spring Creek Capital LLC,787251,2021-09-29,0.0177,40110438,STFC
Alpine Associates Management Inc.,568700,2021-09-29,0.0128,28975265,STFC
FIL LTD,435000,2021-09-29,0.0098,22163250,STFC
Carlson Capital. L.P.,400000,2021-09-29,0.009000000000000001,20380000,STFC
State Street Corporation,352744,2021-09-29,0.0079,17972306,STFC
