Holder,Shares,Date Reported,% Out,Value,ABV
Temasek Holdings (Private) Limited,2758169,2021-12-30,0.0983,24630449,SQZ
"American International Group, Inc.",2529272,2021-12-30,0.0901,22586398,SQZ
683 Capital Management LLC,1852135,2021-12-30,0.066,16539565,SQZ
Artal Group S.A.,1606309,2021-12-30,0.0572,14344339,SQZ
Blackrock Inc.,1413870,2021-12-30,0.0504,12625859,SQZ
Maverick Capital Ltd.,1056786,2021-12-30,0.0377,9437098,SQZ
"Vanguard Group, Inc. (The)",1022245,2021-12-30,0.0364,9128647,SQZ
State Street Corporation,350617,2021-12-30,0.0125,3131009,SQZ
"Geode Capital Management, LLC",303500,2021-12-30,0.0108,2710255,SQZ
Northern Trust Corporation,194668,2021-12-30,0.0069,1738385,SQZ
