Holder,Shares,Date Reported,% Out,Value,ABV
Morgan Stanley,1392756,2021-09-29,0.0556,7910854,FPL
"Coastal Bridge Advisors, LLC",1111109,2021-09-29,0.0444,6311099,FPL
Cohen & Steers Inc.,676039,2021-09-29,0.027000000000000003,3839901,FPL
"Advisors Asset Management, Inc.",617154,2021-09-29,0.0246,3505434,FPL
"Rivernorth Capital Management, Llc",311341,2021-09-29,0.0124,1768416,FPL
"Ameriprise Financial, Inc.",224860,2021-09-29,0.009000000000000001,1277204,FPL
LPL Financial LLC,206482,2021-09-29,0.008199999999999999,1172817,FPL
"Private Advisor Group, LLC",190805,2021-09-29,0.0076,1083772,FPL
"Raymond James & Associates, Inc.",160738,2021-09-29,0.0064,912991,FPL
"Advisor Group, Inc.",118655,2021-09-29,0.004699999999999999,673960,FPL
