Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",1229333,2021-09-29,0.0388,3147092,REFR
Blackrock Inc.,629681,2021-09-29,0.0199,1611983,REFR
Millennium Management LLC,208550,2021-09-29,0.0066,533888,REFR
"Geode Capital Management, LLC",188702,2021-09-29,0.006,483077,REFR
"Shufro, Rose & Co., LLC",171250,2021-09-29,0.0054,438400,REFR
"Susquehanna International Group, LLP",151491,2021-09-29,0.0048,387816,REFR
"Ergoteles, LLC",117913,2021-09-29,0.0037,301857,REFR
State Street Corporation,112497,2021-09-29,0.0036,287992,REFR
Northern Trust Corporation,56348,2021-09-29,0.0018,144250,REFR
HRT Financial LLC,53369,2021-09-29,0.0017000000000000001,136624,REFR
