Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",9829464,2021-09-29,0.11869999999999999,2036763235,AVY
Blackrock Inc.,7010770,2021-09-29,0.08470000000000001,1452701651,AVY
Price (T.Rowe) Associates Inc,6419150,2021-09-29,0.0775,1330112071,AVY
State Street Corporation,3886330,2021-09-29,0.046900000000000004,805286439,AVY
"Select Equity Group, Inc.",3173073,2021-09-29,0.0383,657492456,AVY
Invesco Ltd.,1752614,2021-09-29,0.0212,363159146,AVY
Victory Capital Management Inc.,1738202,2021-09-29,0.021,360172836,AVY
"Geode Capital Management, LLC",1506161,2021-09-29,0.0182,312091620,AVY
"FMR, LLC",1357972,2021-09-29,0.016399999999999998,281385378,AVY
"Ameriprise Financial, Inc.",1335763,2021-09-29,0.0161,276783451,AVY
