Holder,Shares,Date Reported,% Out,Value,ABV
"Conestoga Capital Advisors, LLC",1110837,2021-12-30,0.0904,34691439,EVI
Gemmer Asset Management LLC,1022495,2021-12-30,0.0832,31932518,EVI
Royce & Associates LP,588572,2021-12-30,0.0479,18381103,EVI
Morgan Stanley,357957,2021-09-29,0.0291,9736430,EVI
Blackrock Inc.,302859,2021-12-30,0.0246,9458286,EVI
"Vanguard Group, Inc. (The)",248869,2021-09-29,0.0202,6769236,EVI
Empire Life Investments Inc.,243793,2021-12-30,0.019799999999999998,7613655,EVI
"Conifer Management, L.L.C.",164242,2021-09-29,0.0134,4467382,EVI
ArrowMark Colorado Holdings LLC,150378,2021-09-29,0.012199999999999999,4090281,EVI
Frontier Wealth Management LLC,138964,2021-12-30,0.0113,4339845,EVI
