Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",1864140,2021-09-29,0.08779999999999999,438296596,VMI
Blackrock Inc.,1704066,2021-09-29,0.0803,400659997,VMI
"FMR, LLC",1219167,2021-09-29,0.0574,286650545,VMI
"Neuberger Berman Group, LLC",1005749,2021-09-29,0.047400000000000005,236471704,VMI
Artisan Partners Limited Partnership,855382,2021-09-29,0.0403,201117415,VMI
Impax Asset Management Group Plc,800824,2021-09-29,0.0377,188289738,VMI
Invesco Ltd.,727092,2021-09-29,0.034300000000000004,170953871,VMI
State Street Corporation,573889,2021-09-29,0.027000000000000003,134932781,VMI
Dimensional Fund Advisors LP,486031,2021-09-29,0.0229,114275608,VMI
Cramer Rosenthal Mcglynn LLC/Adv,454131,2021-09-29,0.021400000000000002,106775280,VMI
