Holder,Shares,Date Reported,% Out,Value,ABV
"Brown Capital Management, Inc.",4100251,2021-09-29,0.1804,176679815,INGN
Blackrock Inc.,3142274,2021-09-29,0.1383,135400586,INGN
"Vanguard Group, Inc. (The)",2469350,2021-09-29,0.10869999999999999,106404291,INGN
Novo Holdings A/S,1079320,2021-09-29,0.0475,46507898,INGN
State Street Corporation,868455,2021-09-29,0.0382,37421725,INGN
BAMCO Inc.,740144,2021-09-29,0.0326,31892804,INGN
"FMR, LLC",610577,2021-09-29,0.0269,26309762,INGN
Dimensional Fund Advisors LP,577771,2021-09-29,0.0254,24896152,INGN
New York State Common Retirement Fund,514967,2021-09-29,0.0227,22189928,INGN
"Loomis Sayles & Company, LP",467655,2021-09-29,0.0206,20151253,INGN
