Date,Firm,To Grade,From Grade,Action,ABV
2012-05-29 06:58:00,Cantor Fitzgerald,Buy,,init,CCRN
2012-09-05 05:51:00,Citigroup,Buy,Neutral,up,CCRN
2013-03-22 10:03:17,Cantor Fitzgerald,Hold,Buy,down,CCRN
2013-12-04 09:35:54,Citigroup,Buy,,main,CCRN
2014-01-07 08:09:26,Citigroup,Neutral,Buy,down,CCRN
2014-03-07 08:00:00,Cantor Fitzgerald,Buy,Hold,up,CCRN
2014-08-08 16:00:00,BMO Capital,Outperform,,main,CCRN
2014-12-11 09:00:00,UBS,Buy,,main,CCRN
2015-03-06 09:00:00,Cantor Fitzgerald,Buy,,main,CCRN
2015-08-10 15:40:07,Cantor Fitzgerald,Buy,,main,CCRN
2015-11-06 14:48:12,Cantor Fitzgerald,Buy,,main,CCRN
2016-03-11 05:27:24,UBS,Buy,,main,CCRN
2017-01-20 13:29:25,Benchmark,Buy,,init,CCRN
2017-01-24 12:47:05,Avondale Partners,Market Perform,Market Outperform,down,CCRN
2017-11-06 15:22:37,BMO Capital,Outperform,,main,CCRN
2017-11-07 15:11:52,Credit Suisse,Neutral,,init,CCRN
2018-02-01 11:51:07,Jefferies,Hold,,init,CCRN
2018-03-01 11:58:36,Benchmark,Hold,Buy,down,CCRN
2018-03-02 14:10:43,Lake Street,Hold,Buy,down,CCRN
2018-03-02 17:46:13,Cantor Fitzgerald,Neutral,Overweight,down,CCRN
2018-03-06 13:47:09,BMO Capital,Outperform,Outperform,main,CCRN
2018-04-18 13:42:27,Barrington Research,Outperform,,init,CCRN
2018-08-02 12:00:48,BMO Capital,Market Perform,Outperform,down,CCRN
2018-08-02 12:14:48,Credit Suisse,Neutral,Neutral,main,CCRN
2018-08-06 13:48:48,Cantor Fitzgerald,Neutral,Neutral,main,CCRN
2018-11-05 15:06:38,BMO Capital,Market Perform,Market Perform,main,CCRN
2019-02-19 13:04:07,SunTrust Robinson Humphrey,Hold,Buy,down,CCRN
2019-02-28 14:29:53,BMO Capital,Market Perform,Market Perform,main,CCRN
2019-11-06 14:39:37,BMO Capital,Market Perform,,main,CCRN
2020-03-26 16:49:22,SunTrust Robinson Humphrey,Hold,,main,CCRN
2020-08-06 13:39:15,Credit Suisse,Neutral,,main,CCRN
2020-10-08 11:22:34,B of A Securities,Underperform,,init,CCRN
2020-10-30 16:21:55,Truist Securities,Buy,Hold,up,CCRN
2020-11-05 12:11:42,BMO Capital,Market Perform,,main,CCRN
2020-11-05 12:43:44,Benchmark,Buy,Hold,up,CCRN
2020-11-05 14:27:35,Credit Suisse,Neutral,,main,CCRN
2020-11-23 12:09:34,BMO Capital,Outperform,Market Perform,up,CCRN
2021-02-25 13:32:56,Credit Suisse,Neutral,,main,CCRN
2021-05-06 11:18:20,Benchmark,Hold,Buy,down,CCRN
2021-05-06 13:43:12,Credit Suisse,Neutral,,main,CCRN
2021-08-05 11:40:06,Benchmark,Buy,Hold,up,CCRN
2021-08-16 12:07:59,Credit Suisse,Neutral,,main,CCRN
2022-01-27 10:05:07,Jefferies,Buy,Hold,up,CCRN
