Date,Firm,To Grade,From Grade,Action,ABV
2012-09-27,Chardan Capital,Buy,,init,PERI
2012-09-27,Chardan Capital,Buy,,init,PERI
2013-01-16,Benchmark,Buy,,init,PERI
2013-04-08,Needham,Buy,,init,PERI
2013-08-13,WuBench,Buy,,main,PERI
2013-09-17,Benchmark,Buy,,main,PERI
2014-08-07,Needham,Hold,Buy,down,PERI
2014-09-12,Standpoint Research,Buy,,init,PERI
2014-11-07,Benchmark,Buy,,main,PERI
2014-12-30,Chardan Capital,Neutral,Buy,down,PERI
2015-11-04,Chardan Capital,Buy,Neutral,up,PERI
2016-10-31,Benchmark,Hold,Buy,down,PERI
2018-08-14,Taglich Brothers,Speculative Buy,,init,PERI
2020-01-06,Lake Street,Buy,,main,PERI
2020-01-06,Sidoti & Co.,Not Rated,,main,PERI
2020-01-15,Lake Street,Buy,,reit,PERI
2020-09-30,Oppenheimer,Outperform,,init,PERI
2020-11-19,Roth Capital,Buy,,init,PERI
2020-12-08,Roth Capital,Buy,,main,PERI
2021-02-10,Roth Capital,Buy,,main,PERI
2021-04-01,Needham,Buy,,init,PERI
2021-04-14,Stifel,Hold,,init,PERI
2021-05-05,Roth Capital,Buy,,main,PERI
2021-06-29,Roth Capital,Buy,,main,PERI
2021-07-01,Needham,Buy,,main,PERI
2021-10-26,Needham,Buy,,main,PERI
2021-12-13,Raymond James,Outperform,,init,PERI
